Date,Hour,MWh,kWh
1/7/23,3.0,34.68,34680.0
1/7/23,4.0,34.87,34870.0
1/7/23,5.0,34.87,34870.0
1/7/23,6.0,34.84,34840.0
1/7/23,7.0,34.72,34720.0
1/7/23,8.0,34.63,34630.0
1/7/23,9.0,34.73,34730.0
1/7/23,10.0,34.97,34970.0
1/7/23,11.0,35.18,35180.0
1/7/23,12.0,35.43,35430.0
1/7/23,13.0,35.67,35670.0
1/7/23,14.0,35.69,35690.0
1/7/23,15.0,35.59,35590.0
1/7/23,16.0,35.56,35560.0
1/7/23,17.0,35.49,35490.0
1/7/23,18.0,35.18,35180.0
1/7/23,19.0,35.09,35090.0
1/7/23,20.0,34.94,34940.0
1/7/23,21.0,34.88,34880.0
1/7/23,22.0,34.89,34890.0
1/7/23,23.0,34.98,34980.0
1/7/23,24.0,34.97,34970.0
1/8/23,1.0,34.78,34780.0
1/8/23,2.0,34.88,34880.0
1/8/23,3.0,34.52,34520.0
1/8/23,4.0,34.49,34490.0
1/8/23,5.0,34.79,34790.0
1/8/23,6.0,34.77,34770.0
1/8/23,7.0,34.95,34950.0
1/8/23,8.0,34.97,34970.0
1/8/23,9.0,34.99,34990.0
1/8/23,10.0,35.05,35050.0
1/8/23,11.0,35.25,35250.0
1/8/23,12.0,35.42,35420.0
1/8/23,13.0,35.56,35560.0
1/8/23,14.0,35.67,35670.0
1/8/23,15.0,35.56,35560.0
1/8/23,16.0,35.63,35630.0
1/8/23,17.0,35.61,35610.0
1/8/23,18.0,35.49,35490.0
1/8/23,19.0,35.43,35430.0
1/8/23,20.0,35.39,35390.0
1/8/23,21.0,35.51,35510.0
1/8/23,22.0,35.39,35390.0
1/8/23,23.0,35.43,35430.0
1/8/23,24.0,35.28,35280.0
1/9/23,1.0,35.35,35350.0
1/9/23,2.0,35.33,35330.0
1/9/23,3.0,35.17,35170.0
1/9/23,4.0,35.09,35090.0
1/9/23,5.0,34.81,34810.0
1/9/23,6.0,34.95,34950.0
1/9/23,7.0,35.23,35230.0
1/9/23,8.0,35.26,35260.0
1/9/23,9.0,35.42,35420.0
1/9/23,10.0,35.59,35590.0
1/9/23,11.0,35.78,35780.0
1/9/23,12.0,36.28,36280.0
1/9/23,13.0,36.41,36410.0
1/9/23,14.0,36.39,36390.0
1/9/23,15.0,36.53,36530.0
1/9/23,16.0,36.53,36530.0
1/9/23,17.0,36.51,36510.0
1/9/23,18.0,35.89,35890.0
1/9/23,19.0,35.13,35130.0
1/9/23,20.0,34.86,34860.0
1/9/23,21.0,34.84,34840.0
1/9/23,22.0,35.06,35060.0
1/9/23,23.0,35.07,35070.0
1/9/23,24.0,35.02,35020.0
1/10/23,1.0,34.93,34930.0
1/10/23,2.0,34.94,34940.0
1/10/23,3.0,35.05,35050.0
1/10/23,4.0,35.05,35050.0
1/10/23,5.0,34.88,34880.0
1/10/23,6.0,35.4,35400.0
1/10/23,7.0,35.78,35780.0
1/10/23,8.0,36.06,36060.0
1/10/23,9.0,35.99,35990.0
1/10/23,10.0,35.59,35590.0
1/10/23,11.0,36.06,36060.0
1/10/23,12.0,36.47,36470.0
1/10/23,13.0,36.73,36730.0
1/10/23,14.0,36.95,36950.0
1/10/23,15.0,36.73,36730.0
1/10/23,16.0,36.8,36800.0
1/10/23,17.0,36.95,36950.0
1/10/23,18.0,36.21,36210.0
1/10/23,19.0,35.77,35770.0
1/10/23,20.0,35.49,35490.0
1/10/23,21.0,35.4,35400.0
1/10/23,22.0,35.43,35430.0
