January,Hour,kWh,MWh,February,Hour,kWh,MWh,March,Hour,kWh,MWh,April,Hour,kWh,MWh,May,Hour,kWh,MWh,June,Hour,kWh,MWh,July,Hour,kWh,MWh,August,Hour,kWh,MWh,September,Hour,kWh,MWh
1/8/23,18,"16,424.00",16.42,2/8/23,18,"16,884.00",16.884,3/8/23,18,"15,121.00",15.121,4/8/23,18,"14,551.00",14.551,5/8/23,18,"15,708.00",15.708,6/8/23,18,"15,192.00",15.192,7/8/23,18,"15,520.00",15.52,8/8/23,18,"15,030.00",15.03,9/8/23,18,"14,386.00",14.39
1/8/23,19,"16,135.00",16.14,2/8/23,19,"16,751.00",16.751,3/8/23,19,"15,043.00",15.043,4/8/23,19,"14,557.00",14.557,5/8/23,19,"15,695.00",15.695,6/8/23,19,"15,141.00",15.141,7/8/23,19,"15,384.00",15.38,8/8/23,19,"15,011.00",15.01,9/8/23,19,"14,360.00",14.36
1/8/23,20,"16,064.00",16.06,2/8/23,20,"16,602.00",16.602,3/8/23,20,"14,959.00",14.959,4/8/23,20,"14,554.00",14.554,5/8/23,20,"15,597.00",15.597,6/8/23,20,"15,056.00",15.056,7/8/23,20,"15,361.00",15.36,8/8/23,20,"15,008.00",15.01,9/8/23,20,"14,774.00",14.77
1/8/23,21,"15,951.00",15.95,2/8/23,21,"16,524.00",16.524,3/8/23,21,"14,833.00",14.833,4/8/23,21,"14,564.00",14.564,5/8/23,21,"15,526.00",15.526,6/8/23,21,"14,933.00",14.933,7/8/23,21,"15,244.00",15.24,8/8/23,21,"14,975.00",14.98,9/8/23,21,"14,774.00",14.77
1/8/23,22,"16,006.00",16.01,2/8/23,22,"16,462.00",16.462,3/8/23,22,"14,723.00",14.723,4/8/23,22,"14,557.00",14.557,5/8/23,22,"15,426.00",15.426,6/8/23,22,"14,791.00",14.791,7/8/23,22,"14,940.00",14.94,8/8/23,22,"14,878.00",14.88,9/8/23,22,"14,674.00",14.67
1/8/23,23,"15,967.00",15.97,2/8/23,23,"16,349.00",16.349,3/8/23,23,"14,826.00",14.826,4/8/23,23,"14,551.00",14.551,5/8/23,23,"15,384.00",15.384,6/8/23,23,"14,706.00",14.706,7/8/23,23,"14,794.00",14.79,8/8/23,23,"14,833.00",14.83,9/8/23,23,"14,651.00",14.65
1/8/23,24,"15,954.00",15.95,2/8/23,24,"16,307.00",16.307,3/8/23,24,"14,849.00",14.849,4/8/23,24,"14,548.00",14.548,5/8/23,24,"15,390.00",15.39,6/8/23,24,"14,609.00",14.609,7/8/23,24,"14,849.00",14.85,8/8/23,24,"14,781.00",14.78,9/8/23,24,"14,680.00",14.68
1/9/23,1,"15,876.00",15.88,2/9/23,1,"16,223.00",16.223,3/9/23,1,"14,842.00",14.842,4/9/23,1,"14,548.00",14.548,5/9/23,1,"15,455.00",15.455,6/9/23,1,"14,476.00",14.476,7/9/23,1,"14,868.00",14.87,8/9/23,1,"14,761.00",14.76,9/9/23,1,"14,687.00",14.69
1/9/23,2,"15,818.00",15.82,2/9/23,2,"16,203.00",16.203,3/9/23,2,"14,826.00",14.826,4/9/23,2,"14,551.00",14.551,5/9/23,2,"15,465.00",15.465,6/9/23,2,"14,470.00",14.47,7/9/23,2,"14,875.00",14.88,8/9/23,2,"14,739.00",14.74,9/9/23,2,"14,713.00",14.71
1/9/23,3,"15,779.00",15.78,2/9/23,3,"16,158.00",16.158,3/9/23,3,"14,817.00",14.817,4/9/23,3,"14,554.00",14.554,5/9/23,3,"15,452.00",15.452,6/9/23,3,"14,431.00",14.431,7/9/23,3,"14,852.00",14.85,8/9/23,3,"14,723.00",14.72,9/9/23,3,"14,700.00",14.7
1/9/23,4,"15,763.00",15.76,2/9/23,4,"16,262.00",16.262,3/9/23,4,"14,846.00",14.846,4/9/23,4,"14,548.00",14.548,5/9/23,4,"15,406.00",15.406,6/9/23,4,"14,373.00",14.373,7/9/23,4,"14,839.00",14.84,8/9/23,4,"14,703.00",14.7,9/9/23,4,"14,710.00",14.71
1/9/23,5,"15,740.00",15.74,2/9/23,5,"16,287.00",16.287,3/9/23,5,"14,820.00",14.82,4/9/23,5,"14,544.00",14.544,5/9/23,5,"15,367.00",15.367,6/9/23,5,"14,340.00",14.34,7/9/23,5,"14,842.00",14.84,8/9/23,5,"14,687.00",14.69,9/9/23,5,"14,719.00",14.72
1/9/23,6,"15,740.00",15.74,2/9/23,6,"16,239.00",16.239,3/9/23,6,"14,842.00",14.842,4/9/23,6,"14,538.00",14.538,5/9/23,6,"15,332.00",15.332,6/9/23,6,"14,340.00",14.34,7/9/23,6,"14,829.00",14.83,8/9/23,6,"14,703.00",14.7,9/9/23,6,"14,706.00",14.71
1/9/23,7,"15,720.00",15.72,2/9/23,7,"16,223.00",16.223,3/9/23,7,"14,826.00",14.826,4/9/23,7,"14,544.00",14.544,5/9/23,7,"13,789.00",13.789,6/9/23,7,"14,363.00",14.363,7/9/23,7,"14,826.00",14.83,8/9/23,7,"14,706.00",14.71,9/9/23,7,"14,729.00",14.73
1/9/23,8,"14,522.00",14.52,2/9/23,8,"16,284.00",16.284,3/9/23,8,"14,826.00",14.826,4/9/23,8,"14,561.00",14.561,5/9/23,8,"13,764.00",13.764,6/9/23,8,"14,392.00",14.392,7/9/23,8,"14,826.00",14.83,8/9/23,8,"14,723.00",14.72,9/9/23,8,"14,716.00",14.72
1/9/23,9,"12,672.00",12.67,2/9/23,9,"16,281.00",16.281,3/9/23,9,"14,846.00",14.846,4/9/23,9,"14,570.00",14.57,5/9/23,9,"13,793.00",13.793,6/9/23,9,"14,499.00",14.499,7/9/23,9,"14,839.00",14.84,8/9/23,9,"14,787.00",14.79,9/9/23,9,"14,739.00",14.74
1/9/23,10,"12,639.00",12.64,2/9/23,10,"16,368.00",16.368,3/9/23,10,"14,878.00",14.878,4/9/23,10,"14,586.00",14.586,5/9/23,10,"13,890.00",13.89,6/9/23,10,"14,645.00",14.645,7/9/23,10,"14,868.00",14.87,8/9/23,10,"14,817.00",14.82,9/9/23,10,"14,774.00",14.77
1/9/23,11,"12,672.00",12.67,2/9/23,11,"16,427.00",16.427,3/9/23,11,"14,920.00",14.92,4/9/23,11,"14,616.00",14.616,5/9/23,11,"13,877.00",13.877,6/9/23,11,"14,765.00",14.765,7/9/23,11,"14,894.00",14.89,8/9/23,11,"14,898.00",14.9,9/9/23,11,"14,894.00",14.89
1/9/23,12,"12,655.00",12.66,2/9/23,12,"16,475.00",16.475,3/9/23,12,"14,979.00",14.979,4/9/23,12,"14,671.00",14.671,5/9/23,12,"13,922.00",13.922,6/9/23,12,"14,865.00",14.865,7/9/23,12,"14,940.00",14.94,8/9/23,12,"15,014.00",15.01,9/9/23,12,"15,037.00",15.04
1/9/23,13,"12,630.00",12.63,2/9/23,13,"16,618.00",16.618,3/9/23,13,"14,946.00",14.946,4/9/23,13,"14,739.00",14.739,5/9/23,13,"15,497.00",15.497,6/9/23,13,"14,894.00",14.894,7/9/23,13,"15,072.00",15.07,8/9/23,13,"15,121.00",15.12,9/9/23,13,"15,134.00",15.13
1/9/23,14,"13,491.00",13.49,2/9/23,14,"16,699.00",16.699,3/9/23,14,"14,774.00",14.774,4/9/23,14,"14,778.00",14.778,5/9/23,14,"15,811.00",15.811,6/9/23,14,"15,011.00",15.011,7/9/23,14,"15,218.00",15.22,8/9/23,14,"15,231.00",15.23,9/9/23,14,"15,215.00",15.22
1/9/23,15,"13,614.00",13.61,2/9/23,15,"16,819.00",16.819,3/9/23,15,"14,726.00",14.726,4/9/23,15,"14,820.00",14.82,5/9/23,15,"15,889.00",15.889,6/9/23,15,"15,095.00",15.095,7/9/23,15,"15,315.00",15.32,8/9/23,15,"15,335.00",15.34,9/9/23,15,"15,173.00",15.17
1/9/23,16,"14,039.00",14.04,2/9/23,16,"16,809.00",16.809,3/9/23,16,"14,713.00",14.713,4/9/23,16,"14,875.00",14.875,5/9/23,16,"15,928.00",15.928,6/9/23,16,"15,170.00",15.17,7/9/23,16,"15,358.00",15.36,8/9/23,16,"15,416.00",15.42,9/9/23,16,"15,111.00",15.11
1/9/23,17,"14,097.00",14.1,2/9/23,17,"16,806.00",16.806,3/9/23,17,"14,813.00",14.813,4/9/23,17,"14,904.00",14.904,5/9/23,17,"15,925.00",15.925,6/9/23,17,"15,189.00",15.189,7/9/23,17,"15,377.00",15.38,8/9/23,17,"1,396.00",1.4,9/9/23,17,"15,121.00",15.12
1/9/23,18,"14,933.00",14.93,2/9/23,18,"16,735.00",16.735,3/9/23,18,"14,752.00",14.752,4/9/23,18,"14,927.00",14.927,5/9/23,18,"15,902.00",15.902,6/9/23,18,"15,183.00",15.183,7/9/23,18,"15,364.00",15.36,8/9/23,18,"1,082.00",1.08,9/9/23,18,"15,218.00",15.22
1/9/23,19,"15,659.00",15.66,2/9/23,19,"16,573.00",16.573,3/9/23,19,"14,528.00",14.528,4/9/23,19,"14,878.00",14.878,5/9/23,19,"15,711.00",15.711,6/9/23,19,"15,157.00",15.157,7/9/23,19,"15,338.00",15.34,8/9/23,19,"1,102.00",1.1,9/9/23,19,"15,225.00",15.23
1/9/23,20,"15,617.00",15.62,2/9/23,20,"16,514.00",16.514,3/9/23,20,"14,418.00",14.418,4/9/23,20,"14,784.00",14.784,5/9/23,20,"15,568.00",15.568,6/9/23,20,"15,092.00",15.092,7/9/23,20,"15,303.00",15.3,8/9/23,20,"14,901.00",14.9,9/9/23,20,"15,111.00",15.11
1/9/23,21,"15,633.00",15.63,2/9/23,21,"16,446.00",16.446,3/9/23,21,"14,499.00",14.499,4/9/23,21,"14,719.00",14.719,5/9/23,21,"15,490.00",15.49,6/9/23,21,"14,949.00",14.949,7/9/23,21,"15,192.00",15.19,8/9/23,21,"15,001.00",15,9/9/23,21,"14,917.00",14.92
1/9/23,22,"15,704.00",15.7,2/9/23,22,"16,177.00",16.177,3/9/23,22,"14,580.00",14.58,4/9/23,22,"14,671.00",14.671,5/9/23,22,"15,348.00",15.348,6/9/23,22,"14,710.00",14.71,7/9/23,22,"15,118.00",15.12,8/9/23,22,"14,881.00",14.88,9/9/23,22,"14,797.00",14.8
1/9/23,23,"15,708.00",15.71,2/9/23,23,"16,025.00",16.025,3/9/23,23,"14,586.00",14.586,4/9/23,23,"14,629.00",14.629,5/9/23,23,"15,247.00",15.247,6/9/23,23,"14,557.00",14.557,7/9/23,23,"15,063.00",15.06,8/9/23,23,"15,040.00",15.04,9/9/23,23,"14,810.00",14.81
1/9/23,24,"15,695.00",15.7,2/9/23,24,"16,022.00",16.022,3/9/23,24,"14,596.00",14.596,4/9/23,24,"14,612.00",14.612,5/9/23,24,"15,209.00",15.209,6/9/23,24,"14,437.00",14.437,7/9/23,24,"14,901.00",14.9,8/9/23,24,"14,920.00",14.92,9/9/23,24,"14,765.00",14.77
1/10/23,1,"15,698.00",15.7,2/10/23,1,"15,986.00",15.986,3/10/23,1,"14,574.00",14.574,4/10/23,1,"14,590.00",14.59,5/10/23,1,"15,196.00",15.196,6/10/23,1,"14,392.00",14.392,7/10/23,1,"14,865.00",14.87,8/10/23,1,"14,885.00",14.89,9/10/23,1,"14,680.00",14.68
1/10/23,2,"15,691.00",15.69,2/10/23,2,"15,996.00",15.996,3/10/23,2,"14,574.00",14.574,4/10/23,2,"14,580.00",14.58,5/10/23,2,"15,234.00",15.234,6/10/23,2,"14,379.00",14.379,7/10/23,2,"14,817.00",14.82,8/10/23,2,"14,791.00",14.79,9/10/23,2,"14,671.00",14.67
1/10/23,3,"15,682.00",15.68,2/10/23,3,"15,999.00",15.999,3/10/23,3,"14,590.00",14.59,4/10/23,3,"14,586.00",14.586,5/10/23,3,"15,179.00",15.179,6/10/23,3,"14,356.00",14.356,7/10/23,3,"14,794.00",14.79,8/10/23,3,"14,732.00",14.73,9/10/23,3,"14,648.00",14.65
1/10/23,4,"15,678.00",15.68,2/10/23,4,"15,980.00",15.98,3/10/23,4,"14,557.00",14.557,4/10/23,4,"14,580.00",14.58,5/10/23,4,"15,157.00",15.157,6/10/23,4,"14,350.00",14.35,7/10/23,4,"14,781.00",14.78,8/10/23,4,"14,745.00",14.75,9/10/23,4,"14,658.00",14.66
1/10/23,5,"15,685.00",15.69,2/10/23,5,"16,002.00",16.002,3/10/23,5,"14,531.00",14.531,4/10/23,5,"14,577.00",14.577,5/10/23,5,"15,157.00",15.157,6/10/23,5,"14,327.00",14.327,7/10/23,5,"14,765.00",14.77,8/10/23,5,"14,791.00",14.79,9/10/23,5,"14,677.00",14.68
1/10/23,6,"15,665.00",15.67,2/10/23,6,"15,999.00",15.999,3/10/23,6,"14,593.00",14.593,4/10/23,6,"14,577.00",14.577,5/10/23,6,"15,105.00",15.105,6/10/23,6,"14,308.00",14.308,7/10/23,6,"14,748.00",14.75,8/10/23,6,"14,969.00",14.97,9/10/23,6,"14,667.00",14.67
1/10/23,7,"15,685.00",15.69,2/10/23,7,"15,947.00",15.947,3/10/23,7,"14,599.00",14.599,4/10/23,7,"14,567.00",14.567,5/10/23,7,"15,060.00",15.06,6/10/23,7,"11,700.00",11.7,7/10/23,7,"14,765.00",14.77,8/10/23,7,"15,092.00",15.09,9/10/23,7,"14,658.00",14.66
1/10/23,8,"15,682.00",15.68,2/10/23,8,"15,944.00",15.944,3/10/23,8,"14,609.00",14.609,4/10/23,8,"14,564.00",14.564,5/10/23,8,"15,134.00",15.134,6/10/23,8,"9,775.00",9.775,7/10/23,8,"14,768.00",14.77,8/10/23,8,"14,813.00",14.81,9/10/23,8,"14,658.00",14.66
1/10/23,9,"15,688.00",15.69,2/10/23,9,"15,951.00",15.951,3/10/23,9,"14,632.00",14.632,4/10/23,9,"14,577.00",14.577,5/10/23,9,"15,131.00",15.131,6/10/23,9,"12,688.00",12.688,7/10/23,9,"14,784.00",14.78,8/10/23,9,"14,700.00",14.7,9/10/23,9,"14,697.00",14.7
1/10/23,10,"15,743.00",15.74,2/10/23,10,"15,970.00",15.97,3/10/23,10,"14,651.00",14.651,4/10/23,10,"14,599.00",14.599,5/10/23,10,"15,176.00",15.176,6/10/23,10,"14,583.00",14.583,7/10/23,10,"14,833.00",14.83,8/10/23,10,"14,693.00",14.69,9/10/23,10,"14,745.00",14.75
1/10/23,11,"15,821.00",15.82,2/10/23,11,"16,093.00",16.093,3/10/23,11,"14,703.00",14.703,4/10/23,11,"14,629.00",14.629,5/10/23,11,"15,273.00",15.273,6/10/23,11,"14,820.00",14.82,7/10/23,11,"14,946.00",14.95,8/10/23,11,"14,687.00",14.69,9/10/23,11,"14,826.00",14.83
1/10/23,12,"15,908.00",15.91,2/10/23,12,"16,194.00",16.194,3/10/23,12,"14,742.00",14.742,4/10/23,12,"14,664.00",14.664,5/10/23,12,"15,409.00",15.409,6/10/23,12,"15,047.00",15.047,7/10/23,12,"14,988.00",14.99,8/10/23,12,"14,810.00",14.81,9/10/23,12,"14,946.00",14.95
1/10/23,13,"16,064.00",16.06,2/10/23,13,"16,229.00",16.229,3/10/23,13,"14,674.00",14.674,4/10/23,13,"14,703.00",14.703,5/10/23,13,"15,533.00",15.533,6/10/23,13,"15,147.00",15.147,7/10/23,13,"15,079.00",15.08,8/10/23,13,"14,888.00",14.89,9/10/23,13,"15,034.00",15.03
1/10/23,14,"16,194.00",16.19,2/10/23,14,"16,333.00",16.333,3/10/23,14,"14,625.00",14.625,4/10/23,14,"14,778.00",14.778,5/10/23,14,"15,623.00",15.623,6/10/23,14,"15,196.00",15.196,7/10/23,14,"15,157.00",15.16,8/10/23,14,"14,959.00",14.96,9/10/23,14,"15,144.00",15.14
1/10/23,15,"16,317.00",16.32,2/10/23,15,"16,398.00",16.398,3/10/23,15,"14,752.00",14.752,4/10/23,15,"14,862.00",14.862,5/10/23,15,"15,717.00",15.717,6/10/23,15,"15,222.00",15.222,7/10/23,15,"15,257.00",15.26,8/10/23,15,"15,069.00",15.07,9/10/23,15,"15,163.00",15.16
1/10/23,16,"16,388.00",16.39,2/10/23,16,"16,346.00",16.346,3/10/23,16,"14,765.00",14.765,4/10/23,16,"14,914.00",14.914,5/10/23,16,"15,776.00",15.776,6/10/23,16,"15,296.00",15.296,7/10/23,16,"15,338.00",15.34,8/10/23,16,"15,147.00",15.15,9/10/23,16,"15,247.00",15.25
1/10/23,17,"16,378.00",16.38,2/10/23,17,"16,242.00",16.242,3/10/23,17,"14,723.00",14.723,4/10/23,17,"14,959.00",14.959,5/10/23,17,"15,805.00",15.805,6/10/23,17,"15,338.00",15.338,7/10/23,17,"15,358.00",15.36,8/10/23,17,"15,277.00",15.28,9/10/23,17,"15,176.00",15.18
1/10/23,18,"16,271.00",16.27,2/10/23,18,"16,135.00",16.135,3/10/23,18,"14,664.00",14.664,4/10/23,18,"14,982.00",14.982,5/10/23,18,"15,792.00",15.792,6/10/23,18,"15,338.00",15.338,7/10/23,18,"15,270.00",15.27,8/10/23,18,"15,315.00",15.32,9/10/23,18,"15,205.00",15.21
1/10/23,19,"15,947.00",15.95,2/10/23,19,"16,119.00",16.119,3/10/23,19,"14,629.00",14.629,4/10/23,19,"14,930.00",14.93,5/10/23,19,"15,724.00",15.724,6/10/23,19,"15,303.00",15.303,7/10/23,19,"15,215.00",15.22,8/10/23,19,"15,290.00",15.29,9/10/23,19,"15,179.00",15.18
1/10/23,20,"15,785.00",15.79,2/10/23,20,"16,096.00",16.096,3/10/23,20,"14,570.00",14.57,4/10/23,20,"14,852.00",14.852,5/10/23,20,"15,665.00",15.665,6/10/23,20,"15,299.00",15.299,7/10/23,20,"15,309.00",15.31,8/10/23,20,"15,238.00",15.24,9/10/23,20,"15,141.00",15.14
1/10/23,21,"15,678.00",15.68,2/10/23,21,"16,077.00",16.077,3/10/23,21,"14,548.00",14.548,4/10/23,21,"14,726.00",14.726,5/10/23,21,"15,555.00",15.555,6/10/23,21,"15,202.00",15.202,7/10/23,21,"15,205.00",15.21,8/10/23,21,"15,212.00",15.21,9/10/23,21,"14,949.00",14.95
1/10/23,22,"15,662.00",15.66,2/10/23,22,"16,035.00",16.035,3/10/23,22,"14,531.00",14.531,4/10/23,22,"14,603.00",14.603,5/10/23,22,"15,442.00",15.442,6/10/23,22,"14,975.00",14.975,7/10/23,22,"15,066.00",15.07,8/10/23,22,"15,147.00",15.15,9/10/23,22,"14,820.00",14.82
1/10/23,23,"15,649.00",15.65,2/10/23,23,"16,025.00",16.025,3/10/23,23,"14,557.00",14.557,4/10/23,23,"14,567.00",14.567,5/10/23,23,"15,354.00",15.354,6/10/23,23,"14,771.00",14.771,7/10/23,23,"14,975.00",14.98,8/10/23,23,"15,111.00",15.11,9/10/23,23,"14,768.00",14.77
1/10/23,24,"15,639.00",15.64,2/10/23,24,"16,009.00",16.009,3/10/23,24,"14,531.00",14.531,4/10/23,24,"14,554.00",14.554,5/10/23,24,"15,280.00",15.28,6/10/23,24,"14,703.00",14.703,7/10/23,24,"14,898.00",14.9,8/10/23,24,"15,063.00",15.06,9/10/23,24,"14,739.00",14.74
1/11/23,1,"15,669.00",15.67,2/11/23,1,"16,012.00",16.012,3/11/23,1,"14,493.00",14.493,4/11/23,1,"14,548.00",14.548,5/11/23,1,"15,234.00",15.234,6/11/23,1,"14,690.00",14.69,7/11/23,1,"14,842.00",14.84,8/11/23,1,"15,011.00",15.01,9/11/23,1,"14,723.00",14.72
1/11/23,2,"15,701.00",15.7,2/11/23,2,"15,976.00",15.976,3/11/23,2,"14,486.00",14.486,4/11/23,2,"14,541.00",14.541,5/11/23,2,"15,173.00",15.173,6/11/23,2,"14,739.00",14.739,7/11/23,2,"14,846.00",14.85,8/11/23,2,"14,953.00",14.95,9/11/23,2,"14,739.00",14.74
1/11/23,3,"15,714.00",15.71,2/11/23,3,"15,993.00",15.993,3/11/23,3,"14,476.00",14.476,4/11/23,3,"14,535.00",14.535,5/11/23,3,"15,186.00",15.186,6/11/23,3,"14,732.00",14.732,7/11/23,3,"14,810.00",14.81,8/11/23,3,"14,923.00",14.92,9/11/23,3,"14,729.00",14.73
1/11/23,4,"15,724.00",15.72,2/11/23,4,"15,986.00",15.986,3/11/23,4,"14,473.00",14.473,4/11/23,4,"14,531.00",14.531,5/11/23,4,"15,222.00",15.222,6/11/23,4,"14,674.00",14.674,7/11/23,4,"14,791.00",14.79,8/11/23,4,"14,901.00",14.9,9/11/23,4,"14,736.00",14.74
1/11/23,5,"15,720.00",15.72,2/11/23,5,"15,986.00",15.986,3/11/23,5,"14,467.00",14.467,4/11/23,5,"14,528.00",14.528,5/11/23,5,"15,215.00",15.215,6/11/23,5,"14,638.00",14.638,7/11/23,5,"14,787.00",14.79,8/11/23,5,"14,891.00",14.89,9/11/23,5,"14,742.00",14.74
1/11/23,6,"15,688.00",15.69,2/11/23,6,"15,980.00",15.98,3/11/23,6,"14,463.00",14.463,4/11/23,6,"14,528.00",14.528,5/11/23,6,"15,212.00",15.212,6/11/23,6,"14,632.00",14.632,7/11/23,6,"14,761.00",14.76,8/11/23,6,"14,898.00",14.9,9/11/23,6,"14,752.00",14.75
1/11/23,7,"15,724.00",15.72,2/11/23,7,"16,122.00",16.122,3/11/23,7,"14,470.00",14.47,4/11/23,7,"14,535.00",14.535,5/11/23,7,"15,228.00",15.228,6/11/23,7,"14,645.00",14.645,7/11/23,7,"14,745.00",14.75,8/11/23,7,"14,940.00",14.94,9/11/23,7,"14,729.00",14.73
1/11/23,8,"15,730.00",15.73,2/11/23,8,"16,093.00",16.093,3/11/23,8,"14,467.00",14.467,4/11/23,8,"14,531.00",14.531,5/11/23,8,"15,254.00",15.254,6/11/23,8,"14,677.00",14.677,7/11/23,8,"14,800.00",14.8,8/11/23,8,"14,979.00",14.98,9/11/23,8,"14,748.00",14.75
1/11/23,9,"15,776.00",15.78,2/11/23,9,"16,051.00",16.051,3/11/23,9,"14,480.00",14.48,4/11/23,9,"14,561.00",14.561,5/11/23,9,"15,286.00",15.286,6/11/23,9,"14,797.00",14.797,7/11/23,9,"14,956.00",14.96,8/11/23,9,"14,966.00",14.97,9/11/23,9,"14,810.00",14.81
1/11/23,10,"14,574.00",14.57,2/11/23,10,"16,080.00",16.08,3/11/23,10,"14,505.00",14.505,4/11/23,10,"14,629.00",14.629,5/11/23,10,"15,319.00",15.319,6/11/23,10,"14,833.00",14.833,7/11/23,10,"15,004.00",15,8/11/23,10,"14,979.00",14.98,9/11/23,10,"14,910.00",14.91
1/11/23,11,"14,314.00",14.31,2/11/23,11,"16,122.00",16.122,3/11/23,11,"14,548.00",14.548,4/11/23,11,"14,697.00",14.697,5/11/23,11,"15,303.00",15.303,6/11/23,11,"14,833.00",14.833,7/11/23,11,"15,115.00",15.12,8/11/23,11,"14,920.00",14.92,9/11/23,11,"15,043.00",15.04
1/11/23,12,"15,426.00",15.43,2/11/23,12,"16,151.00",16.151,3/11/23,12,"14,609.00",14.609,4/11/23,12,"14,813.00",14.813,5/11/23,12,"15,319.00",15.319,6/11/23,12,"14,833.00",14.833,7/11/23,12,"15,234.00",15.23,8/11/23,12,"14,966.00",14.97,9/11/23,12,"15,209.00",15.21
1/11/23,13,"16,041.00",16.04,2/11/23,13,"16,125.00",16.125,3/11/23,13,"14,655.00",14.655,4/11/23,13,"14,933.00",14.933,5/11/23,13,"15,367.00",15.367,6/11/23,13,"14,885.00",14.885,7/11/23,13,"15,338.00",15.34,8/11/23,13,"15,137.00",15.14,9/11/23,13,"15,332.00",15.33
1/11/23,14,"14,901.00",14.9,2/11/23,14,"16,057.00",16.057,3/11/23,14,"14,677.00",14.677,4/11/23,14,"15,082.00",15.082,5/11/23,14,"15,390.00",15.39,6/11/23,14,"14,962.00",14.962,7/11/23,14,"15,445.00",15.45,8/11/23,14,"15,254.00",15.25,9/11/23,14,"15,345.00",15.35
1/11/23,15,"14,940.00",14.94,2/11/23,15,"16,038.00",16.038,3/11/23,15,"14,693.00",14.693,4/11/23,15,"15,218.00",15.218,5/11/23,15,"15,393.00",15.393,6/11/23,15,"15,076.00",15.076,7/11/23,15,"15,520.00",15.52,8/11/23,15,"15,400.00",15.4,9/11/23,15,"15,419.00",15.42
1/11/23,16,"16,417.00",16.42,2/11/23,16,"15,970.00",15.97,3/11/23,16,"14,710.00",14.71,4/11/23,16,"15,319.00",15.319,5/11/23,16,"15,465.00",15.465,6/11/23,16,"15,166.00",15.166,7/11/23,16,"1,322.00",1.32,8/11/23,16,"15,542.00",15.54,9/11/23,16,"1,377.00",1.38
1/11/23,17,"16,550.00",16.55,2/11/23,17,"15,886.00",15.886,3/11/23,17,"14,723.00",14.723,4/11/23,17,"15,358.00",15.358,5/11/23,17,"15,523.00",15.523,6/11/23,17,"15,322.00",15.322,7/11/23,17,920,0.92,8/11/23,17,"15,571.00",15.57,9/11/23,17,"1,089.00",1.09
1/11/23,18,"16,540.00",16.54,2/11/23,18,"15,879.00",15.879,3/11/23,18,"14,700.00",14.7,4/11/23,18,"15,332.00",15.332,5/11/23,18,"15,542.00",15.542,6/11/23,18,"15,445.00",15.445,7/11/23,18,910,0.91,8/11/23,18,"15,575.00",15.58,9/11/23,18,"1,128.00",1.13
1/11/23,19,"16,495.00",16.5,2/11/23,19,"15,886.00",15.886,3/11/23,19,"14,655.00",14.655,4/11/23,19,"15,309.00",15.309,5/11/23,19,"15,513.00",15.513,6/11/23,19,"15,516.00",15.516,7/11/23,19,"14,820.00",14.82,8/11/23,19,"15,500.00",15.5,9/11/23,19,"15,102.00",15.1
1/11/23,20,"16,343.00",16.34,2/11/23,20,"15,873.00",15.873,3/11/23,20,"14,625.00",14.625,4/11/23,20,"15,222.00",15.222,5/11/23,20,"15,487.00",15.487,6/11/23,20,"15,231.00",15.231,7/11/23,20,"15,335.00",15.34,8/11/23,20,"15,471.00",15.47,9/11/23,20,"15,280.00",15.28
1/11/23,21,"16,349.00",16.35,2/11/23,21,"15,837.00",15.837,3/11/23,21,"14,590.00",14.59,4/11/23,21,"14,878.00",14.878,5/11/23,21,"15,406.00",15.406,6/11/23,21,"15,115.00",15.115,7/11/23,21,"15,358.00",15.36,8/11/23,21,"15,354.00",15.35,9/11/23,21,"15,108.00",15.11
1/11/23,22,"16,281.00",16.28,2/11/23,22,"15,824.00",15.824,3/11/23,22,"14,561.00",14.561,4/11/23,22,"14,729.00",14.729,5/11/23,22,"15,299.00",15.299,6/11/23,22,"15,089.00",15.089,7/11/23,22,"15,163.00",15.16,8/11/23,22,"15,163.00",15.16,9/11/23,22,"14,985.00",14.99
1/11/23,23,"16,171.00",16.17,2/11/23,23,"15,844.00",15.844,3/11/23,23,"14,557.00",14.557,4/11/23,23,"14,655.00",14.655,5/11/23,23,"15,228.00",15.228,6/11/23,23,"15,069.00",15.069,7/11/23,23,"15,001.00",15,8/11/23,23,"15,079.00",15.08,9/11/23,23,"14,972.00",14.97
1/11/23,24,"16,064.00",16.06,2/11/23,24,"15,824.00",15.824,3/11/23,24,"14,580.00",14.58,4/11/23,24,"14,596.00",14.596,5/11/23,24,"15,163.00",15.163,6/11/23,24,"15,043.00",15.043,7/11/23,24,"14,885.00",14.89,8/11/23,24,"15,060.00",15.06,9/11/23,24,"14,930.00",14.93
1/12/23,1,"15,973.00",15.97,2/12/23,1,"15,805.00",15.805,3/12/23,1,"14,580.00",14.58,4/12/23,1,"14,574.00",14.574,5/12/23,1,"15,111.00",15.111,6/12/23,1,"15,021.00",15.021,7/12/23,1,"14,817.00",14.82,8/12/23,1,"15,034.00",15.03,9/12/23,1,"14,823.00",14.82
1/12/23,2,"15,928.00",15.93,2/12/23,2,"15,814.00",15.814,3/12/23,2,"14,531.00",14.531,4/12/23,2,"14,561.00",14.561,5/12/23,2,"15,144.00",15.144,6/12/23,2,"14,995.00",14.995,7/12/23,2,"14,732.00",14.73,8/12/23,2,"15,014.00",15.01,9/12/23,2,"14,800.00",14.8
