Date,Hour,kWh,MWh
1/7/23,8.0,"15,711.00",15.71
1/7/23,9.0,"15,717.00",15.72
1/7/23,10.0,"15,795.00",15.8
1/7/23,11.0,"15,951.00",15.95
1/7/23,12.0,"16,077.00",16.08
1/7/23,13.0,"16,168.00",16.17
1/7/23,14.0,"16,148.00",16.15
1/7/23,15.0,"16,339.00",16.34
1/7/23,16.0,"16,352.00",16.35
1/7/23,17.0,"16,417.00",16.42
1/7/23,18.0,"16,317.00",16.32
1/7/23,19.0,"16,145.00",16.15
1/7/23,20.0,"16,067.00",16.07
1/7/23,21.0,"16,061.00",16.06
1/7/23,22.0,"16,048.00",16.05
1/7/23,23.0,"16,051.00",16.05
1/7/23,24.0,"16,006.00",16.01
1/8/23,1.0,"15,947.00",15.95
1/8/23,2.0,"15,947.00",15.95
1/8/23,3.0,"15,973.00",15.97
1/8/23,4.0,"15,963.00",15.96
1/8/23,5.0,"15,986.00",15.99
1/8/23,6.0,"15,938.00",15.94
1/8/23,7.0,"15,879.00",15.88
1/8/23,8.0,"15,889.00",15.89
1/8/23,9.0,"15,895.00",15.9
1/8/23,10.0,"15,925.00",15.93
1/8/23,11.0,"16,051.00",16.05
1/8/23,12.0,"16,226.00",16.23
1/8/23,13.0,"16,317.00",16.32
1/8/23,14.0,"16,336.00",16.34
1/8/23,15.0,"16,378.00",16.38
1/8/23,16.0,"16,462.00",16.46
1/8/23,17.0,"16,472.00",16.47
1/8/23,18.0,"16,424.00",16.42
1/8/23,19.0,"16,135.00",16.14
1/8/23,20.0,"16,064.00",16.06
1/8/23,21.0,"15,951.00",15.95
1/8/23,22.0,"16,006.00",16.01
1/8/23,23.0,"15,967.00",15.97
1/8/23,24.0,"15,954.00",15.95
1/9/23,1.0,"15,876.00",15.88
1/9/23,2.0,"15,818.00",15.82
1/9/23,3.0,"15,779.00",15.78
1/9/23,4.0,"15,763.00",15.76
1/9/23,5.0,"15,740.00",15.74
1/9/23,6.0,"15,740.00",15.74
1/9/23,7.0,"15,720.00",15.72
1/9/23,8.0,"14,522.00",14.52
1/9/23,9.0,"12,672.00",12.67
1/9/23,10.0,"12,639.00",12.64
1/9/23,11.0,"12,672.00",12.67
1/9/23,12.0,"12,655.00",12.66
1/9/23,13.0,"12,630.00",12.63
1/9/23,14.0,"13,491.00",13.49
1/9/23,15.0,"13,614.00",13.61
1/9/23,16.0,"14,039.00",14.04
1/9/23,17.0,"14,097.00",14.1
1/9/23,18.0,"14,933.00",14.93
1/9/23,19.0,"15,659.00",15.66
1/9/23,20.0,"15,617.00",15.62
1/9/23,21.0,"15,633.00",15.63
1/9/23,22.0,"15,704.00",15.7
1/9/23,23.0,"15,708.00",15.71
1/9/23,24.0,"15,695.00",15.7
1/10/23,1.0,"15,698.00",15.7
1/10/23,2.0,"15,691.00",15.69
1/10/23,3.0,"15,682.00",15.68
1/10/23,4.0,"15,678.00",15.68
1/10/23,5.0,"15,685.00",15.69
1/10/23,6.0,"15,665.00",15.67
1/10/23,7.0,"15,685.00",15.69
1/10/23,8.0,"15,682.00",15.68
1/10/23,9.0,"15,688.00",15.69
1/10/23,10.0,"15,743.00",15.74
1/10/23,11.0,"15,821.00",15.82
1/10/23,12.0,"15,908.00",15.91
1/10/23,13.0,"16,064.00",16.06
1/10/23,14.0,"16,194.00",16.19
1/10/23,15.0,"16,317.00",16.32
1/10/23,16.0,"16,388.00",16.39
1/10/23,17.0,"16,378.00",16.38
1/10/23,18.0,"16,271.00",16.27
1/10/23,19.0,"15,947.00",15.95
1/10/23,20.0,"15,785.00",15.79
1/10/23,21.0,"15,678.00",15.68
1/10/23,22.0,"15,662.00",15.66
1/10/23,23.0,"15,649.00",15.65
1/10/23,24.0,"15,639.00",15.64
1/11/23,1.0,"15,669.00",15.67
1/11/23,2.0,"15,701.00",15.7
1/11/23,3.0,"15,714.00",15.71
1/11/23,4.0,"15,724.00",15.72
1/11/23,5.0,"15,720.00",15.72
1/11/23,6.0,"15,688.00",15.69
1/11/23,7.0,"15,724.00",15.72
1/11/23,8.0,"15,730.00",15.73
1/11/23,9.0,"15,776.00",15.78
1/11/23,10.0,"14,574.00",14.57
1/11/23,11.0,"14,314.00",14.31
1/11/23,12.0,"15,426.00",15.43
1/11/23,13.0,"16,041.00",16.04
1/11/23,14.0,"14,901.00",14.9
1/11/23,15.0,"14,940.00",14.94
1/11/23,16.0,"16,417.00",16.42
1/11/23,17.0,"16,550.00",16.55
1/11/23,18.0,"16,540.00",16.54
1/11/23,19.0,"16,495.00",16.5
1/11/23,20.0,"16,343.00",16.34
1/11/23,21.0,"16,349.00",16.35
1/11/23,22.0,"16,281.00",16.28
1/11/23,23.0,"16,171.00",16.17
1/11/23,24.0,"16,064.00",16.06
1/12/23,1.0,"15,973.00",15.97
1/12/23,2.0,"15,928.00",15.93
1/12/23,3.0,"15,944.00",15.94
1/12/23,4.0,"15,934.00",15.93
1/12/23,5.0,"15,915.00",15.92
1/12/23,6.0,"15,925.00",15.93
1/12/23,7.0,"15,973.00",15.97
1/12/23,8.0,"16,002.00",16.0
1/12/23,9.0,"16,080.00",16.08
1/12/23,10.0,"16,414.00",16.41
1/12/23,11.0,"16,728.00",16.73
1/12/23,12.0,"16,897.00",16.9
1/12/23,13.0,"17,023.00",17.02
1/12/23,14.0,"17,042.00",17.04
1/12/23,15.0,"17,036.00",17.04
1/12/23,16.0,"17,065.00",17.07
1/12/23,17.0,"2,164.00",2.16
1/12/23,18.0,"12,941.00",12.94
1/12/23,19.0,"14,891.00",14.89
1/12/23,20.0,"15,529.00",15.53
1/12/23,21.0,"16,122.00",16.12
1/12/23,22.0,"16,109.00",16.11
1/12/23,23.0,"16,064.00",16.06
1/12/23,24.0,"15,928.00",15.93
1/13/23,1.0,"15,934.00",15.93
1/13/23,2.0,"15,886.00",15.89
1/13/23,3.0,"15,847.00",15.85
1/13/23,4.0,"15,792.00",15.79
1/13/23,5.0,"15,785.00",15.79
1/13/23,6.0,"15,727.00",15.73
1/13/23,7.0,"15,750.00",15.75
1/13/23,8.0,"15,720.00",15.72
1/13/23,9.0,"15,724.00",15.72
1/13/23,10.0,"15,720.00",15.72
1/13/23,11.0,"15,708.00",15.71
1/13/23,12.0,"15,688.00",15.69
1/13/23,13.0,"15,724.00",15.72
1/13/23,14.0,"15,708.00",15.71
1/13/23,15.0,"15,714.00",15.71
1/13/23,16.0,"15,753.00",15.75
1/13/23,17.0,"15,701.00",15.7
1/13/23,18.0,"15,672.00",15.67
1/13/23,19.0,"15,682.00",15.68
1/13/23,20.0,"12,685.00",12.69
1/13/23,21.0,156,0.16
1/13/23,22.0,152,0.15
1/13/23,23.0,149,0.15
1/13/23,24.0,152,0.15
1/14/23,1.0,152,0.15
1/14/23,2.0,149,0.15
1/14/23,3.0,156,0.16
1/14/23,4.0,149,0.15
1/14/23,5.0,156,0.16
1/14/23,6.0,146,0.15
1/14/23,7.0,292,0.29
1/14/23,8.0,295,0.3
1/14/23,9.0,295,0.3
1/14/23,10.0,"11,586.00",11.59
1/14/23,11.0,"15,558.00",15.56
1/14/23,12.0,"15,656.00",15.66
1/14/23,13.0,"15,714.00",15.71
1/14/23,14.0,"15,701.00",15.7
1/14/23,15.0,"15,733.00",15.73
1/14/23,16.0,"15,662.00",15.66
1/14/23,17.0,"15,688.00",15.69
1/14/23,18.0,"15,675.00",15.68
1/14/23,19.0,"13,880.00",13.88
1/14/23,20.0,473,0.47
1/14/23,21.0,509,0.51
1/14/23,22.0,509,0.51
1/14/23,23.0,505,0.51
1/14/23,24.0,509,0.51
1/15/23,1.0,509,0.51
1/15/23,2.0,509,0.51
1/15/23,3.0,"1,844.00",1.84
1/15/23,4.0,"8,298.00",8.3
1/15/23,5.0,480,0.48
1/15/23,6.0,509,0.51
1/15/23,7.0,515,0.52
1/15/23,8.0,512,0.51
1/15/23,9.0,509,0.51
1/15/23,10.0,512,0.51
1/15/23,11.0,509,0.51
1/15/23,12.0,505,0.51
1/15/23,13.0,"12,921.00",12.92
1/15/23,14.0,"15,931.00",15.93
1/15/23,15.0,"16,080.00",16.08
1/15/23,16.0,"16,181.00",16.18
1/15/23,17.0,"16,181.00",16.18
1/15/23,18.0,"16,057.00",16.06
1/15/23,19.0,"15,711.00",15.71
1/15/23,20.0,"15,698.00",15.7
1/15/23,21.0,"15,688.00",15.69
1/15/23,22.0,"15,682.00",15.68
1/15/23,23.0,"15,665.00",15.67
1/15/23,24.0,"15,649.00",15.65
1/16/23,1.0,"15,627.00",15.63
1/16/23,2.0,"15,662.00",15.66
1/16/23,3.0,"15,639.00",15.64
1/16/23,4.0,"15,656.00",15.66
1/16/23,5.0,"13,060.00",13.06
1/16/23,6.0,509,0.51
1/16/23,7.0,505,0.51
1/16/23,8.0,505,0.51
1/16/23,9.0,505,0.51
1/16/23,10.0,"13,167.00",13.17
1/16/23,11.0,"15,789.00",15.79
1/16/23,12.0,"16,057.00",16.06
1/16/23,13.0,"16,265.00",16.27
1/16/23,14.0,"16,362.00",16.36
1/16/23,15.0,"16,475.00",16.48
1/16/23,16.0,"16,498.00",16.5
1/16/23,17.0,"16,605.00",16.61
1/16/23,18.0,"16,537.00",16.54
1/16/23,19.0,"16,362.00",16.36
1/16/23,20.0,"16,213.00",16.21
1/16/23,21.0,"16,083.00",16.08
1/16/23,22.0,"16,054.00",16.05
1/16/23,23.0,"16,113.00",16.11
1/16/23,24.0,"16,041.00",16.04
1/17/23,1.0,"16,083.00",16.08
1/17/23,2.0,"16,067.00",16.07
1/17/23,3.0,"16,077.00",16.08
1/17/23,4.0,"15,993.00",15.99
1/17/23,5.0,"16,044.00",16.04
1/17/23,6.0,"16,106.00",16.11
1/17/23,7.0,"16,116.00",16.12
1/17/23,8.0,"16,077.00",16.08
1/17/23,9.0,"15,925.00",15.93
1/17/23,10.0,"15,947.00",15.95
1/17/23,11.0,"16,093.00",16.09
1/17/23,12.0,"16,125.00",16.13
1/17/23,13.0,"16,307.00",16.31
1/17/23,14.0,"16,385.00",16.39
1/17/23,15.0,"16,456.00",16.46
